run_id	timestamp	feature_name	cluster_id	baseline_sharpe	ablated_sharpe	delta_sharpe	baseline_dsr	ablated_dsr	delta_dsr	verdict	cost_tier
c66e6e76	2026-04-16T01:11:02+0200	momentum_1m		1.1705	0.6000	-0.5704	0.9526	1.0000	+0.0474	keep	build
487dd625	2026-04-17T03:20:32+0200	price_at_analysis		1.1705	0.5244	-0.6460	0.9526	1.0000	+0.0474	keep	build
5991e7bf	2026-04-18T03:20:36+0200	momentum_3m		1.1705	0.5119	-0.6586	0.9526	1.0000	+0.0474	keep	build
941de18b	2026-04-19T03:20:32+0200	momentum_6m		1.1705	0.5751	-0.5953	0.9526	1.0000	+0.0474	keep	build
c6eca05f	2026-04-20T03:20:32+0200	momentum_12m		1.1705	0.5428	-0.6277	0.9526	1.0000	+0.0474	keep	build
92dd133d	2026-04-21T03:21:06+0200	rsi_14		1.1705	0.5715	-0.5989	0.9526	1.0000	+0.0474	keep	build
2856537b	2026-04-24T03:20:44+0200	annualized_volatility		1.1705	0.5366	-0.6338	0.9526	1.0000	+0.0474	keep	build
