timestamp	endpoint	ttl_before	ttl_after	p95_before	p95_after	hit_rate	status
2026-04-26T16:24:13	paper:status	60	59	1	2	0.0	discard
2026-04-26T16:25:13	paper:status	60	63	1	2	0.0	discard
2026-04-26T16:26:13	settings:full	300	298	1	2	0.0	discard
2026-04-26T16:27:13	paper:reconciliation	600	569	1	2	0.0	discard
2026-04-26T16:28:13	paper:mfe_mae_scatter	120	240	1	2	0.0	discard
2026-04-26T16:29:13	paper:gate	120	112	1	2	0.0	discard
2026-04-26T16:30:13	reports:cost-summary	120	97	1	2	0.0	discard
2026-04-26T16:31:13	reports:ticker	120	110	1	2	0.0	discard
2026-04-26T16:32:13	paper:portfolio	60	50	1	2	0.0	discard
2026-04-26T16:33:13	settings:full	300	600	1	2	0.0	discard
2026-04-26T16:34:13	paper:reconciliation	600	568	1	2	0.0	discard
2026-04-26T16:35:13	paper:reconciliation	600	499	1	2	0.0	discard
2026-04-26T16:36:13	paper:round_trips	137	163	1	2	0.0	discard
2026-04-26T16:37:13	settings:models	3600	3600	1	2	0.0	discard
2026-04-26T16:38:13	paper:gate	120	240	1	2	0.0	discard
2026-04-26T16:39:13	backtest:best	30	25	1	2	0.0	discard
2026-04-26T16:40:13	paper:snapshots	300	286	1	2	0.0	discard
2026-04-26T16:41:13	settings:models	3600	3277	1	2	0.0	discard
2026-04-26T16:42:13	paper:mfe_mae_scatter	120	137	1	2	0.0	discard
2026-04-26T16:43:13	paper:snapshots	300	600	1	2	0.0	discard
2026-04-26T16:44:13	backtest:best	30	26	1	2	0.0	discard
2026-04-26T16:45:13	paper:status	60	48	1	2	0.0	discard
2026-04-26T16:46:13	reports:cost-summary	120	144	1	2	0.0	discard
2026-04-26T16:47:13	reports:ticker	120	106	1	2	0.0	discard
2026-04-26T16:48:13	settings:models	3600	3600	1	2	0.0	discard
2026-04-26T16:49:13	backtest:experiments	10	11	1	2	0.0	discard
2026-04-26T16:50:13	paper:reconciliation	600	578	1	2	0.0	discard
2026-04-26T16:51:13	paper:round_trips	137	113	1	2	0.0	discard
2026-04-26T16:52:13	settings:full	300	354	1	2	0.0	discard
2026-04-26T16:53:13	paper:portfolio	60	120	1	2	0.0	discard
2026-04-26T16:54:13	paper:performance	120	105	1	2	0.0	discard
2026-04-26T16:55:13	paper:snapshots	300	325	1	2	0.0	discard
